Team,G,MP-Total,FGM-Total,FGA-Total,FG%-Total,3PM-Total,3PA-Total,3P%-Total,2PM-Total,2PA-Total,2P%-Total,FTM-Total,FTA-Total,FT%-Total,ORB-Total,DRB-Total,TRB-Total,AST-Total,STL-Total,BLK-Total,TOV-Total,PF-Total,PTS-Total,Team2,G2,MP-PG,FGM-PG,FGA-PG,FG%-PG,3PM-PG,3PA-PG,3P%-PG,2PM-PG,2PA-PG,2P%-PG,FTM-PG,FTA-PG,FT%-PG,ORB-PG,DRB-PG,TRB-PG,AST-PG,STL-PG,BLK-PG,TOV-PG,PF-PG,PTS-PG
Indiana Pacers*,82,19705,3390,7135,.475,779,2081,.374,2611,5054,.517,1298,1727,.752,762,2766,3528,2128,713,404,1122,1594,8857,Indiana Pacers*,82,240.3,41.3,87.0,.475,9.5,25.4,.374,31.8,61.6,.517,15.8,21.1,.752,9.3,33.7,43.0,26.0,8.7,4.9,13.7,19.4,108.0
Phoenix Suns,82,19880,3289,7164,.459,790,2400,.329,2499,4764,.525,1447,1858,.779,748,2563,3311,1957,735,418,1279,1932,8815,Phoenix Suns,82,242.4,40.1,87.4,.459,9.6,29.3,.329,30.5,58.1,.525,17.6,22.7,.779,9.1,31.3,40.4,23.9,9.0,5.1,15.6,23.6,107.5
Orlando Magic*,82,19780,3316,7307,.454,937,2633,.356,2379,4674,.509,1231,1575,.782,822,2902,3724,2095,543,445,1082,1526,8800,Orlando Magic*,82,241.2,40.4,89.1,.454,11.4,32.1,.356,29.0,57.0,.509,15.0,19.2,.782,10.0,35.4,45.4,25.5,6.6,5.4,13.2,18.6,107.3
Detroit Pistons*,82,19855,3185,7238,.440,993,2854,.348,2192,4384,.500,1415,1893,.747,936,2752,3688,1845,569,331,1135,1811,8778,Detroit Pistons*,82,242.1,38.8,88.3,.440,12.1,34.8,.348,26.7,53.5,.500,17.3,23.1,.747,11.4,33.6,45.0,22.5,6.9,4.0,13.8,22.1,107.0
Miami Heat,82,19730,3251,7218,.450,928,2658,.349,2323,4560,.509,1238,1782,.695,921,2879,3800,1991,627,448,1208,1712,8668,Miami Heat,82,240.6,39.6,88.0,.450,11.3,32.4,.349,28.3,55.6,.509,15.1,21.7,.695,11.2,35.1,46.3,24.3,7.6,5.5,14.7,20.9,105.7
Chicago Bulls,82,19905,3266,7205,.453,745,2123,.351,2521,5082,.496,1328,1695,.783,718,2799,3517,1796,603,351,1159,1663,8605,Chicago Bulls,82,242.7,39.8,87.9,.453,9.1,25.9,.351,30.7,62.0,.496,16.2,20.7,.783,8.8,34.1,42.9,21.9,7.4,4.3,14.1,20.3,104.9
New York Knicks,82,19780,3134,7241,.433,823,2421,.340,2311,4820,.479,1484,1956,.759,857,2811,3668,1646,557,422,1151,1713,8575,New York Knicks,82,241.2,38.2,88.3,.433,10.0,29.5,.340,28.2,58.8,.479,18.1,23.9,.759,10.5,34.3,44.7,20.1,6.8,5.1,14.0,20.9,104.6
Cleveland Cavaliers,82,19755,3189,7184,.444,847,2388,.355,2342,4796,.488,1342,1694,.792,879,2619,3498,1698,534,195,1106,1642,8567,Cleveland Cavaliers,82,240.9,38.9,87.6,.444,10.3,29.1,.355,28.6,58.5,.488,16.4,20.7,.792,10.7,31.9,42.7,20.7,6.5,2.4,13.5,20.0,104.5
Memphis Grizzlies,82,19880,3113,6924,.450,811,2368,.342,2302,4556,.505,1453,1882,.772,723,2703,3426,1963,684,448,1147,1801,8490,Memphis Grizzlies,82,242.4,38.0,84.4,.450,9.9,28.9,.342,28.1,55.6,.505,17.7,23.0,.772,8.8,33.0,41.8,23.9,8.3,5.5,14.0,22.0,103.5
League Average,82,19815,3369,7315,.461,932,2625,.355,2437,4691,.520,1450,1892,.766,848,2855,3704,2016,626,406,1155,1714,9119,League Average,82,241.6,41.1,89.2,.461,11.4,32.0,.355,29.7,57.2,.520,17.7,23.1,.766,10.3,34.8,45.2,24.6,7.6,5.0,14.1,20.9,111.2
