Team,G,MP-Total,FGM-Total,FGA-Total,FG%-Total,3PM-Total,3PA-Total,3P%-Total,2PM-Total,2PA-Total,2P%-Total,FTM-Total,FTA-Total,FT%-Total,ORB-Total,DRB-Total,TRB-Total,AST-Total,STL-Total,BLK-Total,TOV-Total,PF-Total,PTS-Total,Team2,G2,MP-PG,FGM-PG,FGA-PG,FG%-PG,3PM-PG,3PA-PG,3P%-PG,2PM-PG,2PA-PG,2P%-PG,FTM-PG,FTA-PG,FT%-PG,ORB-PG,DRB-PG,TRB-PG,AST-PG,STL-PG,BLK-PG,TOV-PG,PF-PG,PTS-PG
Milwaukee Bucks*,82,19780,3555,7471,.476,1105,3134,.353,2450,4337,.565,1471,1904,.773,762,3316,4078,2136,615,486,1137,1608,9686,Milwaukee Bucks*,82,241.2,43.4,91.1,.476,13.5,38.2,.353,29.9,52.9,.565,17.9,23.2,.773,9.3,40.4,49.7,26.0,7.5,5.9,13.9,19.6,118.1
Golden State Warriors*,82,19805,3612,7361,.491,1087,2824,.385,2525,4537,.557,1339,1672,.801,797,2990,3787,2413,625,525,1169,1757,9650,Golden State Warriors*,82,241.5,44.0,89.8,.491,13.3,34.4,.385,30.8,55.3,.557,16.3,20.4,.801,9.7,36.5,46.2,29.4,7.6,6.4,14.3,21.4,117.7
New Orleans Pelicans,82,19755,3581,7563,.473,842,2449,.344,2739,5114,.536,1462,1921,.761,909,2969,3878,2216,610,441,1215,1732,9466,New Orleans Pelicans,82,240.9,43.7,92.2,.473,10.3,29.9,.344,33.4,62.4,.536,17.8,23.4,.761,11.1,36.2,47.3,27.0,7.4,5.4,14.8,21.1,115.4
Philadelphia 76ers*,82,19805,3407,7233,.471,889,2474,.359,2518,4759,.529,1742,2258,.771,892,3025,3917,2207,606,432,1223,1745,9445,Philadelphia 76ers*,82,241.5,41.5,88.2,.471,10.8,30.2,.359,30.7,58.0,.529,21.2,27.5,.771,10.9,36.9,47.8,26.9,7.4,5.3,14.9,21.3,115.2
Los Angeles Clippers*,82,19830,3384,7178,.471,821,2118,.388,2563,5060,.507,1853,2340,.792,796,2936,3732,1970,561,385,1193,1913,9442,Los Angeles Clippers*,82,241.8,41.3,87.5,.471,10.0,25.8,.388,31.3,61.7,.507,22.6,28.5,.792,9.7,35.8,45.5,24.0,6.8,4.7,14.5,23.3,115.1
Portland Trail Blazers*,82,19855,3470,7427,.467,904,2520,.359,2566,4907,.523,1558,1914,.814,967,2968,3935,1887,546,413,1135,1669,9402,Portland Trail Blazers*,82,242.1,42.3,90.6,.467,11.0,30.7,.359,31.3,59.8,.523,19.0,23.3,.814,11.8,36.2,48.0,23.0,6.7,5.0,13.8,20.4,114.7
Oklahoma City Thunder*,82,19855,3497,7706,.454,932,2677,.348,2565,5029,.510,1461,2049,.713,1031,2911,3942,1917,766,425,1145,1839,9387,Oklahoma City Thunder*,82,242.1,42.6,94.0,.454,11.4,32.6,.348,31.3,61.3,.510,17.8,25.0,.713,12.6,35.5,48.1,23.4,9.3,5.2,14.0,22.4,114.5
Toronto Raptors*,82,19880,3460,7305,.474,1015,2771,.366,2445,4534,.539,1449,1803,.804,786,2920,3706,2085,680,437,1150,1724,9384,Toronto Raptors*,82,242.4,42.2,89.1,.474,12.4,33.8,.366,29.8,55.3,.539,17.7,22.0,.804,9.6,35.6,45.2,25.4,8.3,5.3,14.0,21.0,114.4
Sacramento Kings,82,19730,3541,7637,.464,927,2455,.378,2614,5182,.504,1354,1865,.726,906,2819,3725,2083,679,363,1095,1751,9363,Sacramento Kings,82,240.6,43.2,93.1,.464,11.3,29.9,.378,31.9,63.2,.504,16.5,22.7,.726,11.0,34.4,45.4,25.4,8.3,4.4,13.4,21.4,114.2
Washington Wizards,82,19930,3456,7387,.468,930,2731,.341,2526,4656,.543,1508,1963,.768,794,2679,3473,2154,683,379,1154,1701,9350,Washington Wizards,82,243.0,42.1,90.1,.468,11.3,33.3,.341,30.8,56.8,.543,18.4,23.9,.768,9.7,32.7,42.4,26.3,8.3,4.6,14.1,20.7,114.0
Houston Rockets*,82,19830,3218,7163,.449,1323,3721,.356,1895,3442,.551,1582,2001,.791,836,2613,3449,1741,700,405,1094,1803,9341,Houston Rockets*,82,241.8,39.2,87.4,.449,16.1,45.4,.356,23.1,42.0,.551,19.3,24.4,.791,10.2,31.9,42.1,21.2,8.5,4.9,13.3,22.0,113.9
Atlanta Hawks,82,19855,3392,7524,.451,1067,3034,.352,2325,4490,.518,1443,1918,.752,955,2825,3780,2118,675,419,1397,1932,9294,Atlanta Hawks,82,242.1,41.4,91.8,.451,13.0,37.0,.352,28.4,54.8,.518,17.6,23.4,.752,11.6,34.5,46.1,25.8,8.2,5.1,17.0,23.6,113.3
Minnesota Timberwolves,82,19830,3413,7483,.456,827,2357,.351,2586,5126,.504,1570,1995,.787,923,2750,3673,2018,683,411,1074,1664,9223,Minnesota Timberwolves,82,241.8,41.6,91.3,.456,10.1,28.7,.351,31.5,62.5,.504,19.1,24.3,.787,11.3,33.5,44.8,24.6,8.3,5.0,13.1,20.3,112.5
Boston Celtics*,82,19780,3451,7423,.465,1032,2829,.365,2419,4594,.527,1282,1598,.802,804,2849,3653,2155,706,435,1052,1670,9216,Boston Celtics*,82,241.2,42.1,90.5,.465,12.6,34.5,.365,29.5,56.0,.527,15.6,19.5,.802,9.8,34.7,44.5,26.3,8.6,5.3,12.8,20.4,112.4
Brooklyn Nets*,82,19980,3301,7358,.449,1047,2965,.353,2254,4393,.513,1555,2088,.745,900,2919,3819,1954,539,339,1236,1763,9204,Brooklyn Nets*,82,243.7,40.3,89.7,.449,12.8,36.2,.353,27.5,53.6,.513,19.0,25.5,.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,112.2
Los Angeles Lakers,82,19780,3491,7425,.470,847,2541,.333,2644,4884,.541,1336,1910,.699,835,2985,3820,2096,618,440,1284,1701,9165,Los Angeles Lakers,82,241.2,42.6,90.5,.470,10.3,31.0,.333,32.2,59.6,.541,16.3,23.3,.699,10.2,36.4,46.6,25.6,7.5,5.4,15.7,20.7,111.8
Utah Jazz*,82,19755,3314,7082,.468,993,2789,.356,2321,4293,.541,1540,2092,.736,820,2981,3801,2133,663,483,1240,1728,9161,Utah Jazz*,82,240.9,40.4,86.4,.468,12.1,34.0,.356,28.3,52.4,.541,18.8,25.5,.736,10.0,36.4,46.4,26.0,8.1,5.9,15.1,21.1,111.7
San Antonio Spurs*,82,19805,3468,7248,.478,812,2071,.392,2656,5177,.513,1408,1720,.819,757,2910,3667,2013,501,386,992,1487,9156,San Antonio Spurs*,82,241.5,42.3,88.4,.478,9.9,25.3,.392,32.4,63.1,.513,17.2,21.0,.819,9.2,35.5,44.7,24.5,6.1,4.7,12.1,18.1,111.7
Charlotte Hornets,82,19830,3297,7362,.448,977,2783,.351,2320,4579,.507,1510,1895,.797,814,2778,3592,1905,591,405,1001,1550,9081,Charlotte Hornets,82,241.8,40.2,89.8,.448,11.9,33.9,.351,28.3,55.8,.507,18.4,23.1,.797,9.9,33.9,43.8,23.2,7.2,4.9,12.2,18.9,110.7
Denver Nuggets*,82,19730,3439,7384,.466,903,2571,.351,2536,4813,.527,1294,1714,.755,972,2832,3804,2245,634,363,1102,1644,9075,Denver Nuggets*,82,240.6,41.9,90.0,.466,11.0,31.4,.351,30.9,58.7,.527,15.8,20.9,.755,11.9,34.5,46.4,27.4,7.7,4.4,13.4,20.0,110.7
Dallas Mavericks,82,19780,3182,7122,.447,1022,3002,.340,2160,4120,.524,1541,2076,.742,832,2884,3716,1918,533,351,1167,1650,8927,Dallas Mavericks,82,241.2,38.8,86.9,.447,12.5,36.6,.340,26.3,50.2,.524,18.8,25.3,.742,10.1,35.2,45.3,23.4,6.5,4.3,14.2,20.1,108.9
