Team,G,MP-Total,FGM-Total,FGA-Total,FG%-Total,3PM-Total,3PA-Total,3P%-Total,2PM-Total,2PA-Total,2P%-Total,FTM-Total,FTA-Total,FT%-Total,ORB-Total,DRB-Total,TRB-Total,AST-Total,STL-Total,BLK-Total,TOV-Total,PF-Total,PTS-Total,Team2,G2,MP-PG,FGM-PG,FGA-PG,FG%-PG,3PM-PG,3PA-PG,3P%-PG,2PM-PG,2PA-PG,2P%-PG,FTM-PG,FTA-PG,FT%-PG,ORB-PG,DRB-PG,TRB-PG,AST-PG,STL-PG,BLK-PG,TOV-PG,PF-PG,PTS-PG
Los Angeles Lakers,82,19905,3338,7248,.461,822,2384,.345,2516,4864,.517,1364,1910,.714,876,2927,3803,1949,633,388,1295,1736,8862,Los Angeles Lakers,82,242.7,40.7,88.4,.461,10.0,29.1,.345,30.7,59.3,.517,16.6,23.3,.714,10.7,35.7,46.4,23.8,7.7,4.7,15.8,21.2,108.1
Oklahoma City Thunder*,82,19830,3271,7221,.453,881,2491,.354,2390,4730,.505,1421,1985,.716,1024,2671,3695,1750,743,412,1147,1653,8844,Oklahoma City Thunder*,82,241.8,39.9,88.1,.453,10.7,30.4,.354,29.1,57.7,.505,17.3,24.2,.716,12.5,32.6,45.1,21.3,9.1,5.0,14.0,20.2,107.9
Washington Wizards*,82,19855,3275,7018,.467,814,2173,.375,2461,4845,.508,1378,1786,.772,823,2713,3536,2065,645,353,1196,1746,8742,Washington Wizards*,82,242.1,39.9,85.6,.467,9.9,26.5,.375,30.0,59.1,.508,16.8,21.8,.772,10.0,33.1,43.1,25.2,7.9,4.3,14.6,21.3,106.6
Brooklyn Nets,82,19855,3136,7114,.441,1041,2924,.356,2095,4190,.500,1428,1850,.772,792,2852,3644,1941,512,390,1245,1688,8741,Brooklyn Nets,82,242.1,38.2,86.8,.441,12.7,35.7,.356,25.5,51.1,.500,17.4,22.6,.772,9.7,34.8,44.4,23.7,6.2,4.8,15.2,20.6,106.6
Milwaukee Bucks*,82,19830,3257,6807,.478,718,2024,.355,2539,4783,.531,1499,1915,.783,688,2579,3267,1905,722,443,1134,1752,8731,Milwaukee Bucks*,82,241.8,39.7,83.0,.478,8.8,24.7,.355,31.0,58.3,.531,18.3,23.4,.783,8.4,31.5,39.8,23.2,8.8,5.4,13.8,21.4,106.5
Portland Trail Blazers*,82,19755,3222,7132,.452,845,2308,.366,2377,4824,.493,1372,1715,.800,835,2893,3728,1599,573,423,1109,1599,8661,Portland Trail Blazers*,82,240.9,39.3,87.0,.452,10.3,28.1,.366,29.0,58.8,.493,16.7,20.9,.800,10.2,35.3,45.5,19.5,7.0,5.2,13.5,19.5,105.6
Indiana Pacers*,82,19755,3345,7083,.472,741,2010,.369,2604,5073,.513,1225,1573,.779,788,2684,3472,1819,721,340,1089,1544,8656,Indiana Pacers*,82,240.9,40.8,86.4,.472,9.0,24.5,.369,31.8,61.9,.513,14.9,19.2,.779,9.6,32.7,42.3,22.2,8.8,4.1,13.3,18.8,105.6
New York Knicks,82,19830,3334,7193,.464,673,1914,.352,2661,5279,.504,1225,1557,.787,859,2752,3611,1912,552,421,1207,1682,8566,New York Knicks,82,241.8,40.7,87.7,.464,8.2,23.3,.352,32.5,64.4,.504,14.9,19.0,.787,10.5,33.6,44.0,23.3,6.7,5.1,14.7,20.5,104.5
Utah Jazz*,82,19755,3139,6797,.462,887,2425,.366,2252,4372,.515,1375,1766,.779,740,2807,3547,1839,708,420,1205,1608,8540,Utah Jazz*,82,240.9,38.3,82.9,.462,10.8,29.6,.366,27.5,53.3,.515,16.8,21.5,.779,9.0,34.2,43.3,22.4,8.6,5.1,14.7,19.6,104.1
Boston Celtics*,82,19805,3141,6975,.450,939,2492,.377,2202,4483,.491,1308,1697,.771,767,2878,3645,1842,604,373,1149,1618,8529,Boston Celtics*,82,241.5,38.3,85.1,.450,11.5,30.4,.377,26.9,54.7,.491,16.0,20.7,.771,9.4,35.1,44.5,22.5,7.4,4.5,14.0,19.7,104.0
Phoenix Suns,82,19705,3153,7141,.442,763,2286,.334,2390,4855,.492,1453,1962,.741,842,2776,3618,1743,569,370,1289,1807,8522,Phoenix Suns,82,240.3,38.5,87.1,.442,9.3,27.9,.334,29.1,59.2,.492,17.7,23.9,.741,10.3,33.9,44.1,21.3,6.9,4.5,15.7,22.0,103.9
Detroit Pistons,82,19805,3208,7129,.450,886,2373,.373,2322,4756,.488,1207,1621,.745,830,2756,3586,1868,628,317,1103,1508,8509,Detroit Pistons,82,241.5,39.1,86.9,.450,10.8,28.9,.373,28.3,58.0,.488,14.7,19.8,.745,10.1,33.6,43.7,22.8,7.7,3.9,13.5,18.4,103.8
Miami Heat*,82,19930,3184,6997,.455,903,2506,.360,2281,4491,.508,1209,1601,.755,763,2801,3564,1862,620,437,1179,1648,8480,Miami Heat*,82,243.0,38.8,85.3,.455,11.0,30.6,.360,27.8,54.8,.508,14.7,19.5,.755,9.3,34.2,43.5,22.7,7.6,5.3,14.4,20.1,103.4
Orlando Magic,82,19730,3182,7042,.452,844,2405,.351,2338,4637,.504,1271,1678,.757,722,2692,3414,1921,622,400,1192,1579,8479,Orlando Magic,82,240.6,38.8,85.9,.452,10.3,29.3,.351,28.5,56.5,.504,15.5,20.5,.757,8.8,32.8,41.6,23.4,7.6,4.9,14.5,19.3,103.4
Atlanta Hawks,82,19705,3130,7015,.446,917,2544,.360,2213,4471,.495,1298,1654,.785,743,2693,3436,1946,638,348,1276,1606,8475,Atlanta Hawks,82,240.3,38.2,85.5,.446,11.2,31.0,.360,27.0,54.5,.495,15.8,20.2,.785,9.1,32.8,41.9,23.7,7.8,4.2,15.6,19.6,103.4
Chicago Bulls,82,19855,3170,7285,.435,906,2549,.355,2264,4736,.478,1194,1574,.759,790,2873,3663,1923,626,289,1147,1571,8440,Chicago Bulls,82,242.1,38.7,88.8,.435,11.0,31.1,.355,27.6,57.8,.478,14.6,19.2,.759,9.6,35.0,44.7,23.5,7.6,3.5,14.0,19.2,102.9
San Antonio Spurs*,82,19730,3202,6999,.457,696,1977,.352,2506,5022,.499,1324,1715,.772,849,2777,3626,1868,628,460,1078,1408,8424,San Antonio Spurs*,82,240.6,39.0,85.4,.457,8.5,24.1,.352,30.6,61.2,.499,16.1,20.9,.772,10.4,33.9,44.2,22.8,7.7,5.6,13.1,17.2,102.7
Dallas Mavericks,82,19805,3128,7042,.444,967,2688,.360,2161,4354,.496,1167,1530,.763,666,2717,3383,1858,578,310,1008,1578,8390,Dallas Mavericks,82,241.5,38.1,85.9,.444,11.8,32.8,.360,26.4,53.1,.496,14.2,18.7,.763,8.1,33.1,41.3,22.7,7.0,3.8,12.3,19.2,102.3
Memphis Grizzlies,82,19705,3013,6788,.444,758,2152,.352,2255,4636,.486,1361,1732,.786,779,2544,3323,1767,613,396,1227,1900,8145,Memphis Grizzlies,82,240.3,36.7,82.8,.444,9.2,26.2,.352,27.5,56.5,.486,16.6,21.1,.786,9.5,31.0,40.5,21.5,7.5,4.8,15.0,23.2,99.3
Sacramento Kings,82,19755,3179,7063,.450,738,1967,.375,2441,5096,.479,1008,1371,.735,777,2578,3355,1768,643,340,1125,1639,8104,Sacramento Kings,82,240.9,38.8,86.1,.450,9.0,24.0,.375,29.8,62.1,.479,12.3,16.7,.735,9.5,31.4,40.9,21.6,7.8,4.1,13.7,20.0,98.8
League Average,82,19795,3248,7057,.460,860,2378,.362,2388,4679,.510,1363,1778,.767,796,2772,3568,1905,633,395,1170,1628,8719,League Average,82,241.4,39.6,86.1,.460,10.5,29.0,.362,29.1,57.1,.510,16.6,21.7,.767,9.7,33.8,43.5,23.2,7.7,4.8,14.3,19.9,106.3
